w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.5,12,0.620904,1810766,786.34,70.651,5.168,"((1,2),(3,(4,5)))",44,0.293333,16,144,486.2,True,False,True
0.5,13,0.624676,1778376,796.95,71.176,3.889,"((1,2),((3,4),5))",52,0.346667,14,128,598.1,True,False,True
0.5,14,0.622086,1773341,793.33,71.258,4.325,"((1,2),(3,(4,5)))",57,0.380000,19,132,482.4,True,False,True
0.5,15,0.620187,1763979,791.44,71.409,4.553,"((1,2),(3,(4,5)))",48,0.320000,14,144,531.0,True,False,True
0.5,16,0.618578,1805312,783.22,70.739,5.545,"((1,2),(3,(4,5)))",51,0.340000,18,147,615.3,True,False,True
0.5,17,0.638550,1464428,862.16,76.264,-3.974,"((1,2),(3,(4,5)))",64,0.426667,18,150,388.8,True,False,True
0.5,18,0.619548,1784212,787.67,71.081,5.009,"((1,2),(3,(4,5)))",59,0.393333,16,123,541.7,True,False,True
0.5,19,0.619728,1791534,786.98,70.963,5.092,"((1,2),(3,(4,5)))",51,0.340000,17,141,632.5,True,False,True
0.6,0,0.553103,1771931,789.37,71.280,4.804,"((1,2),(3,(4,5)))",54,0.360000,17,150,645.7,True,False,True
0.6,1,0.554236,1774471,791.21,71.239,4.582,"((1,2),(3,(4,5)))",60,0.400000,20,130,566.4,True,False,True
0.6,2,0.553934,1772458,790.99,71.272,4.609,"((1,2),(3,(4,5)))",50,0.333333,18,141,642.7,True,False,True
0.6,3,0.557528,1790028,794.89,70.987,4.137,"((1,2),((3,4),5))",51,0.340000,24,120,542.0,True,False,True
0.6,4,0.553982,1771271,791.32,71.291,4.568,"((1,2),(3,(4,5)))",54,0.360000,15,148,620.3,True,False,True
0.6,5,0.556958,1770407,797.67,71.305,3.803,"((1,2),((3,4),5))",42,0.280000,12,134,640.4,True,False,True
0.6,6,0.553813,1776258,789.97,71.210,4.731,"((1,2),(3,(4,5)))",43,0.286667,14,140,648.3,True,False,True
0.6,7,0.557991,1756182,802.68,71.536,3.199,"((1,2),(3,(4,5)))",46,0.306667,13,144,714.8,True,False,True
0.6,8,0.557217,1756245,801.06,71.535,3.394,"((1,2),((3,4),5))",48,0.320000,13,127,654.6,True,False,True
0.6,9,0.554260,1794401,787.24,70.916,5.061,"((1,2),(3,(4,5)))",54,0.360000,24,96,579.6,True,False,True
0.6,10,0.553715,1765032,792.03,71.392,4.483,"((1,2),(3,(4,5)))",54,0.360000,18,142,543.1,True,False,True
0.6,11,0.558037,1759107,802.18,71.488,3.258,"((1,2),(3,(4,5)))",49,0.326667,14,150,500.4,True,False,True
0.6,12,0.556304,1782769,793.82,71.105,4.267,"((1,2),(3,(4,5)))",58,0.386667,15,150,526.8,True,False,True
0.6,13,0.554467,1812329,784.05,70.626,5.445,"((1,2),(3,(4,5)))",64,0.426667,22,117,483.5,True,False,True
0.6,14,0.583588,1734046,860.20,71.894,-3.739,"(1,((2,3),(4,5)))",57,0.380000,14,150,619.3,True,False,True
0.6,15,0.557273,1789301,794.51,70.999,4.183,"((1,2),(3,(4,5)))",44,0.293333,14,143,511.4,True,False,True
0.6,16,0.554910,1773029,792.89,71.263,4.379,"((1,2),(3,(4,5)))",55,0.366667,19,146,595.2,True,False,True
0.6,17,0.557479,1766040,799.63,71.376,3.566,"((1,2),(3,(4,5)))",49,0.326667,16,78,541.2,True,False,True
0.6,18,0.557438,1802394,792.21,70.787,4.460,"((1,2),((3,4),5))",34,0.226667,12,14,451.4,True,False,True
0.6,19,0.553929,1737466,798.03,71.839,3.759,"((1,2),(3,(4,5)))",47,0.313333,16,136,546.9,True,False,True
0.7,0,0.486426,1761875,791.97,71.443,4.490,"((1,2),(3,(4,5)))",49,0.326667,20,133,471.7,True,False,True
0.7,1,0.489922,1760079,802.19,71.473,3.257,"((1,2),((3,4),5))",52,0.346667,20,125,399.7,True,False,True
0.7,2,0.487846,1776178,791.41,71.212,4.558,"((1,2),(3,(4,5)))",54,0.360000,17,135,532.6,True,False,True
0.7,3,0.489537,1767656,798.75,71.350,3.672,"((1,2),((3,4),5))",52,0.346667,23,150,399.3,True,False,True
0.7,4,0.489133,1755819,801.35,71.542,3.359,"((1,2),((3,4),5))",53,0.353333,14,138,425.2,True,False,True
0.7,5,0.485121,1693552,809.79,72.551,2.341,"(1,(2,(3,(4,5))))",39,0.260000,16,120,657.3,True,False,True
0.7,6,0.489642,1768774,798.70,71.332,3.679,"((1,2),((3,4),5))",39,0.260000,10,147,444.1,True,False,True
0.7,7,0.486684,1661625,824.12,73.068,0.613,"(1,(2,(3,(4,5))))",46,0.306667,8,142,704.1,True,False,True
0.7,8,0.479069,1471746,862.62,76.146,-4.030,"((1,2),(3,(4,5)))",43,0.286667,11,145,430.6,True,False,True
0.7,9,0.477871,1462455,862.22,76.296,-3.982,"((1,2),(3,(4,5)))",59,0.393333,21,143,322.5,True,False,True
0.7,10,0.487044,1747627,798.15,71.674,3.745,"((1,2),(3,(4,5)))",52,0.346667,22,140,508.6,True,False,True
0.7,11,0.485401,1725788,800.45,72.028,3.467,"((1,2),(3,(4,5)))",64,0.426667,23,144,552.1,True,False,True
0.7,12,0.487402,1683529,819.24,72.713,1.202,"(1,(2,(3,(4,5))))",51,0.340000,15,120,587.5,True,False,True
0.7,13,0.486311,1765275,790.58,71.388,4.657,"((1,2),(3,(4,5)))",58,0.386667,25,90,524.1,True,False,True
